Model Name (ID's which detail page to populate),Date,Announced/Updated,Update,"Link (""Learn More"")",Unique ID
Medicare Advantage Value-Based Insurance Design Model,9/24/2020,,CY 2021 Model Participants,https://innovation.cms.gov/innovation-models/vbid,945
Part D Senior Savings Model,9/24/2020,,CY 2021 Participants Announced,https://innovation.cms.gov/innovation-models/part-d-savings-model,946
Next Generation ACO Model,10/2/2020,,Third evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/next-generation-aco-model,947
"Emergency Triage, Treat, and Transport (ET3) Model",9/16/2020,,"Model start date of January 1, 2021",https://innovation.cms.gov/innovation-models/et3,948
Home Health Value-Based Purchasing Model,10/9/2020,,Third annual report and associated materials posted,https://innovation.cms.gov/innovation-models/home-health-value-based-purchasing-model,949
Medicare Care Choices Model,10/9/2020,,Third annual report and associated materials posted,https://innovation.cms.gov/innovation-models/medicare-care-choices,950
Artificial Intelligence (AI) Health Outcomes Challenge,10/29/2020,,Seven finalists to advance to Stage 2,https://innovation.cms.gov/innovation-models/artificial-intelligence-health-outcomes-challenge,951
Part D Enhanced Medication Therapy Management Model,11/5/2020,,Second evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/enhancedmtm,952
Comprehensive ESRD Care Model,11/6/2020,,Performance year three annual report and associated materials posted,https://innovation.cms.gov/innovation-models/comprehensive-esrd-care,953
Comprehensive Care for Joint Replacement Model,11/6/2020,,Third annual report and associated materials posted,https://innovation.cms.gov/innovation-models/cjr,954
Medicare Advantage Value-Based Insurance Design Model,10/8/2020,,CY 2021 Hospice Benefit Component Technical and Operational Guidance released,https://innovation.cms.gov/media/document/vbid-hospice-technical-guidance-cy2021,955
Value in Opioid Use Disorder Treatment Demonstration Program,11/19/2020,,Request for Application and associated materials posted,https://innovation.cms.gov/innovation-models/value-in-treatment-demonstration,956
Primary Care First Model Options,11/20/2020,,"Primary care practices, payers and regional partnerships participating in the 2021 performance year",https://innovation.cms.gov/innovation-models/primary-care-first-model-options,957
Most Favored Nation Model,11/20/2020,,Nationwide model to test whether closer Medicare Part B drug payments with international prices control spending without adversely affecting quality of beneficiary care,https://innovation.cms.gov/innovation-models/most-favored-nation-model,958
Million Hearts: Cardiovascular Disease Risk Reduction Model,11/30/2020,,Third annual evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/million-hearts-cvdrrm,959
Radiation Oncology Model,12/2/2020,,Interim final rule with comment posted,https://innovation.cms.gov/innovation-models/radiation-oncology-model,960
Geographic Direct Contracting Model,12/3/2020,,Geographic Direct Contracting Model Letter of Interest,https://innovation.cms.gov/innovation-models/geographic-direct-contracting-model,961
Medicare Advantage Value-Based Insurance Design Model,12/9/2020,,Registration open for January 14 RFA and hospice benefit component webinar and February 11 office hours,https://innovation.cms.gov/innovation-models/vbid,962
CHART Model,12/9/2020,,"Applications for the Community Transformation Track are due by February 16, 2021",https://innovation.cms.gov/innovation-models/chart-model,963
CHART Model,12/9/2020,,"Optional Letters of Intent (LOIs) for the Community Transformation Track are due by January 12, 2021",https://innovation.cms.gov/innovation-models/chart-model,964
CHART Model,12/15/2020,,Frequently asked questions posted,https://innovation.cms.gov/innovation-models/chart-model,965
Frontier Community Health Integration Project Demonstration,12/17/2020,,Final evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/frontier-community-health-integration-project-demonstration,966
Direct Contracting Model Options,12/17/2020,,Managed Care Organization (MCO) Direct Contracting Entity (DCE) type,https://innovation.cms.gov/innovation-models/direct-contracting-model-options,967
Accountable Health Communities Model,12/18/2020,,First evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/ahcm,968
Comprehensive Primary Care Plus,12/21/2020,,2019 year in review and calendar year Medicare payment fact sheets posted,https://innovation.cms.gov/innovation-models/comprehensive-primary-care-plus,969
Comprehensive ESRD Care Model,12/22/2020,,Financial and quality results for performance year 4 posted,https://innovation.cms.gov/innovation-models/comprehensive-esrd-care,970
CHART Model,12/29/2020,,"Community Transformation Track application deadline extended to March 16, 2021",https://innovation.cms.gov/innovation-models/chart-model,971
Medicare Intravenous Immune Globulin (IVIG) Demonstration,12/21/2020,,"Congress extends the Medicare IVIG demonstration through December 31, 2023",https://innovation.cms.gov/innovation-models/ivig,972
Radiation Oncology Model,12/27/2020,,"Congress prohibits start date until January 1, 2022",https://innovation.cms.gov/innovation-models/radiation-oncology-model,973
Home Health Value-Based Purchasing Model,1/8/2021,,Intent to expand,https://innovation.cms.gov/innovation-models/home-health-value-based-purchasing-model,974
Next Generation ACO Model,1/13/2021,,Performance Year 4 (2019) partial financial and quality results posted,https://innovation.cms.gov/innovation-models/next-generation-aco-model,975
Part D Senior Savings Model,1/14/2021,,CY 2022 Pharmaceutical Manufacturer RFA released,https://innovation.cms.gov/innovation-models/part-d-savings-model,976
Direct Contracting Model Options,1/15/2021,,Request for Applications (RFA) and associated materials posted,https://innovation.cms.gov/innovation-models/geographic-direct-contracting-model,977
Physician-Focused Payment Models (PFPMs): Secretary's Response to Proposals,1/15/2021,,HHS Secretary Azar response to proposals posted,https://innovation.cms.gov/innovation-models/pfpms,978
Comprehensive Primary Care Plus,1/19/2021,,Third annual evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/comprehensive-primary-care-plus,979
Oncology Care Model,1/19/2021,,Evaluation report for performance periods 1-5 and associated materials posted,https://innovation.cms.gov/innovation-models/oncology-care,980
Part D Payment Modernization Model,1/19/2021,,CY 2022 Request for Applications,https://innovation.cms.gov/innovation-models/part-d-payment-modernization-model,981
CHART Model,1/27/2021,,Materials from January 21 Community Transformation Track Payment Overview webinar posted,https://innovation.cms.gov/chart-commtransf-track-paymnt-webinar,982
Medicare Advantage Value-Based Insurance Design Model,2/1/2021,,CY 2022 Request for Applications and associated materials posted,https://innovation.cms.gov/innovation-models/vbid,983
CHART Model,3/5/2021,,"Community Transformation Track application deadline extended to May 11, 2021",https://innovation.cms.gov/innovation-models/chart-model,984
Medicare Advantage Value-Based Insurance Design Model,3/8/2021,,CY 2022 hospice benefit component payment design webinar,https://innovation.cms.gov//vbid-cy22-hospice-payment-design,985
CHART Model,3/9/2021,,Community Transformation Track resources posted,https://innovation.cms.gov/innovation-models/chart-model,986
Part D Senior Savings Model,3/11/2021,,2022 Request for Applications for Part D Plan Sponsors and second year pharmaceutical manufacturer participants,https://innovation.cms.gov/innovation-models/part-d-savings-model,987
"Emergency Triage, Treat, and Transport (ET3) Model",3/12/2021,,Final list of participants and Notice of Funding Opportunity (NOFO) published,https://innovation.cms.gov/innovation-models/et3,988
Primary Care First Model Options,3/16/2021,,Request for Applications (RFA) for Cohort 2,https://innovation.cms.gov/innovation-models/primary-care-first-model-options,989
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents: Phase Two,3/17/2021,,Fourth annual reports posted,https://innovation.cms.gov/innovation-models/rahnfr-phase-two,990
Comprehensive ESRD Care Model,3/18/2021,,Performance year four annual report and associated materials posted,https://innovation.cms.gov/innovation-models/comprehensive-esrd-care,991
Part D Payment Modernization Model,3/19/2021,,Webinar: Calendar Year 2022 Part D Models Application Overview Webinar,https://innovation.cms.gov/initiatives/part-d-payment-modernization-model/,992
Part D Senior Savings Model,3/19/2021,,Webinar: Calendar Year 2022 Part D Models Application Overview Webinar,https://innovation.cms.gov/initiatives/part-d-savings-model,993
"Emergency Triage, Treat, and Transport (ET3) Model",3/12/2021,,"Webinar: Emergency Triage, Treat, and Transport (ET3) Model - Medical Triage Line NOFO Webinar",https://innovation.cms.gov/innovation-models/et3,994
Medicare Diabetes Prevention Program (MDPP) Expanded Model,3/26/2021,,First Annual Evaluation Report posted,https://innovation.cms.gov/innovation-models/medicare-diabetes-prevention-program,995
Global and Professional Direct Contracting (GPDC) Model,4/8/2021,,Participants Selected,https://innovation.cms.gov/innovation-models/direct-contracting-model-options,996
Value in Opioid Use Disorder Treatment Demonstration Program,4/8/2021,,Participants Selected,https://innovation.cms.gov/innovation-models/value-in-treatment-demonstration,997
Bundled Payments for Care Improvement (BPCI) Initiative: General Information,4/12/2021,,Final evaluation report posted,https://innovation.cms.gov/innovation-models/bundled-payments,998
BPCI Advanced,4/12/2021,,Second annual report posted,https://innovation.cms.gov/innovation-models/bpci-advanced,999
"Emergency Triage, Treat, and Transport (ET3) Model",10/9/2020,,Revised participation agreements provided to selected applicants,https://innovation.cms.gov/innovation-models/et3,1000
Medicare Advantage Value-Based Insurance Design Model,4/19/2021,,Slides and associated materials from April 13 hospice benefit component payment design office hours posted,https://innovation.cms.gov/vbid-hospice-cy22-oh,1002
Accountable Health Communities Model,4/23/2021,,Case study about building community partnerships to address social needs posted,https://innovation.cms.gov/innovation-models/ahcm,1003
Comprehensive Care for Joint Replacement Model,4/29/2021,,"Display of CJR Three-year Extension and Changes to Episode Definition and Pricing Final Rule, new fact sheet posted",https://innovation.cms.gov/innovation-models/cjr,1004
Artificial Intelligence (AI) Health Outcomes Challenge,4/30/2021,,Artificial Intelligence (AI) Health Outcomes Challenge Winner & Runner-Up Announced,https://innovation.cms.gov/initiatives/artificial-intelligence-health-outcomes-challenge/,1005
Maryland Total Cost of Care Model,5/5/2021,,Maryland Primary Care Program anticipated RFA release spring 2022,https://innovation.cms.gov/innovation-models/md-tccm,1006
Home Health Value-Based Purchasing Model,5/24/2021,,Fourth annual report and associated materials posted,https://innovation.cms.gov/innovation-models/home-health-value-based-purchasing-model,1007
Independence at Home Demonstration,5/25/2021,,"Anticipated performance period end date December 31, 2023",https://innovation.cms.gov/initiatives/Independence-at-Home/,1008
Next Generation ACO Model,5/28/2021,,Performance Year 6 model benchmark methodology posted,https://innovation.cms.gov/innovation-models/next-generation-aco-model,1009
Maternal Opioid Misuse (MOM) Model,6/24/2021,,Anti-kickback statute safe harbor for CMS-sponsored model patient incentives is available,https://innovation.cms.gov/initiatives/maternal-opioid-misuse-model/,1010
ESRD Treatment Choices (ETC) Model,7/1/2021,,Proposed rule to address health equity for chronic kidney disease and ESRD,https://innovation.cms.gov/initiatives/esrd-treatment-choices-model/,1011
Financial Alignment Initiative for Medicare-Medicaid Enrollees,7/7/2021,,"Multiple evaluation and savings reports from participating states Washington, Colorado, Minnesota, New York, and Virginia posted",https://innovation.cms.gov/innovation-models/financial-alignment,1012
Radiation Oncology Model,7/19/2021,,Notice of proposed rulemaking posted,https://innovation.cms.gov/innovation-models/radiation-oncology-model,1014
Rural Community Hospital Demonstration,8/2/2021,,Extension authorized,https://innovation.cms.gov/innovation-models/rural-community-hospital,1015
Frontier Community Health Integration Project Demonstration,8/2/2021,,Demonstration extended,https://innovation.cms.gov/innovation-models/frontier-community-health-integration-project-demonstration,1016
Part D Enhanced Medication Therapy Management Model,8/3/2021,,Third Evaluation Report posted,https://innovation.cms.gov/innovation-models/enhancedmtm,1017
CMS Innovation Center - Fifth Report to Congress,8/3/2021,,2020 CMS Innovation Center Report to Congress posted,https://innovation.cms.gov/data-and-reports/2021/rtc-2020,1018
Most Favored Nation Model,8/6/2021,,CMS proposes to rescind the MFN Model in a notice of proposed rulemaking published in the Federal Register,https://innovation.cms.gov/innovation-models/most-favored-nation-model,1018
Pennsylvania Rural Health Model,8/31/2021,,First annual report posted,https://innovation.cms.gov/initiatives/pa-rural-health-model/,1019
Vermont All-Payer ACO Model,8/31/2021,,First evaluation report posted,https://innovation.cms.gov/innovation-models/vermont-all-payer-aco-model,1020
Comprehensive Care for Joint Replacement Model,9/7/2021,,Fourth annual report posted,https://innovation.cms.gov/innovation-models/cjr,1021
CHART Model,9/10/2021,,Four cooperative agreements among four states and organizations for Community Transformation Track,https://innovation.cms.gov/innovation-models/chart-model,1022
CHART Model,3/30/2021,,ACO Transformation Track Request for Application (RFA) anticipated release date will be spring 2022,https://innovation.cms.gov/innovation-models/chart-model,1023
"Emergency Triage, Treat, and Transport (ET3) Model",9/13/2021,,Medical triage line NOFO withdrawn,https://innovation.cms.gov/innovation-models/et3,1024
Rural Community Hospital Demonstration,9/14/2021,,First interim evaluation report posted,https://innovation.cms.gov/innovation-models/rural-community-hospital,1025
Financial Alignment Initiative for Medicare-Medicaid Enrollees,9/15/2021,,"Multiple evaluation and savings reports from participating states California, Illinois, Massachusetts, and Washington posted",https://innovation.cms.gov/innovation-models/financial-alignment,1026
Medicare Advantage Value-Based Insurance Design Model,9/29/2021,,CY 2022 VBID Model Participants (including MAOs participating in the Hospice Benefit Component) released,https://innovation.cms.gov/innovation-models/vbid,1027
Part D Senior Savings Model,8/10/2021,,CY 2022 marketing guidance and Part D sponsor addendum posted,https://innovation.cms.gov/innovation-models/part-d-savings-model,1028
Part D Senior Savings Model,9/29/2021,,CY 2022 Participants Announced,https://innovation.cms.gov/innovation-models/part-d-savings-model,1029
Strategic Direction,10/20/2021,,White paper detailing the CMS Innovation Center's vision for the next 10 years posted,https://innovation.cms.gov/strategic-direction-whitepaper,1031
Next Generation ACO Model,10/21/2021,,Fourth evaluation report and Performance Year 5 (2020) financial and quality results posted,https://innovation.cms.gov/innovation-models/next-generation-aco-model,1033
ESRD Treatment Choices (ETC) Model,10/29/2021,,End-Stage Renal Disease (ESRD) Prospective Payment System (PPS) Final Rule published,https://innovation.cms.gov/innovation-models/esrd-treatment-choices-model,1034
Home Health Value-Based Purchasing Model,11/2/2021,,CY 2022 Home Health Proposed Payment System Final Rule published,https://innovation.cms.gov/innovation-models/home-health-value-based-purchasing-model,1035
Expanded Home Health Value-Based Purchasing Model,11/2/2021,,CY 2022 Home Health Prospective Payment System final rule published,https://innovation.cms.gov/innovation-models/expanded-home-health-value-based-purchasing-model,1036
Radiation Oncology Model,11/2/2021,,Final rule posted,https://innovation.cms.gov/innovation-models/radiation-oncology-model,1038
Radiation Oncology Model,11/2/2021,,"CMS intends to invoke provisions of the Extreme and Uncontrollable Circumstances policy on the effective date of the CY 2022 OPPS/ASC final rule, on January 1, 2022",https://innovation.cms.gov/innovation-models/radiation-oncology-model,1039
Independence at Home Demonstration,11/29/2021,,Year six evaluation report and associated materials posted,https://innovation.cms.gov/initiatives/Independence-at-Home/,1041
Oncology Care Model,12/2/2021,,Evaluation report for performance periods 1-6 and associated materials posted,https://innovation.cms.gov/innovation-models/oncology-care,1042
Radiation Oncology Model,12/15/2021,,"Congress prohibited implementation prior to January 1, 2023",https://innovation.cms.gov/innovation-models/radiation-oncology-model,1043
Home Health Value-Based Purchasing Model,11/8/2019,,CY 2020 Home Health Prospective Payment System Final Rule,https://innovation.cms.gov/innovation-models/home-health-value-based-purchasing-model,1044
Most Favored Nation Model,12/27/2021,,CMS rescinds the MFN Model in a final rule published in the Federal Register,https://innovation.cms.gov/innovation-models/most-favored-nation-model,1045
Kidney Care Choices (KCC) Model,1/10/2022,,CY 2022 participants,https://innovation.cms.gov/innovation-models/kidney-care-choices-kcc-model,1046
Financial Alignment Initiative for Medicare-Medicaid Enrollees,1/11/2022,,"Multiple evaluation and savings reports from participating states Rhode Island, South Carolina, and Washington posted",https://innovation.cms.gov/innovation-models/financial-alignment,1047
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents: Phase Two,1/12/2022,,Final annual reports posted,https://innovation.cms.gov/innovation-models/rahnfr-phase-two,1048
Comprehensive ESRD Care Model,1/18/2022,,Performance year five annual report and associated materials posted,https://innovation.cms.gov/innovation-models/comprehensive-esrd-care,1049
BPCI Advanced,1/18/2022,,"Participant list, episode initiators and clinical episode documents for MY5 posted",https://innovation.cms.gov/initiatives/bpci-advanced/,1050
Part D Senior Savings Model,1/27/2022,,CY 2023 Pharmaceutical Manufacturer RFA released,https://innovation.cms.gov/innovation-models/part-d-savings-model,1051
BPCI Advanced,2/1/2022,,Third annual report posted,https://innovation.cms.gov/initiatives/bpci-advanced/,1052
Maternal Opioid Misuse (MOM) Model,2/16/2022,,Pre-Implementation Report posted,https://innovation.cms.gov/innovation-models/maternal-opioid-misuse-model,1053
Million Hearts: Cardiovascular Disease Risk Reduction Model,2/17/2022,,Fourth annual evaluation report and associated materials posted,http://innovation.cms.gov/initiatives/Million-Hearts-CVDRRM/,1054
CHART Model,2/22/2022,,ACO Transformation Track removed from the CHART Model,https://innovation.cms.gov/innovation-models/chart-model,1055
Global and Professional Direct Contracting (GPDC) Model,2/24/2022,,"The GPDC Model will transition to the new ACO REACH Model on January 1, 2023",https://innovation.cms.gov/innovation-models/direct-contracting-model-options,1056
ACO REACH,2/24/2022,,"ACO REACH Model to replace the GPDC Model on January 1, 2023",https://innovation.cms.gov/innovation-models/aco-reach,1057
Geographic Direct Contracting Model,2/24/2022,,The Geographic Direct Contracting Model has been permanently canceled,https://innovation.cms.gov/innovation-models/geographic-direct-contracting-model,1058
ACO REACH,2/24/2022,,Request for Applications posted,https://innovation.cms.gov/innovation-models/aco-reach,1059
Kidney Care Choices (KCC) Model,2/28/2022,,Request for Applications posted,https://innovation.cms.gov/innovation-models/kidney-care-choices-kcc-model,1060
Part D Senior Savings Model,2/28/2022,,2023 Request for Applications for Part D Plan Sponsors and third year pharmaceutical manufacturer participants,https://innovation.cms.gov/innovation-models/part-d-savings-model,1061
Medicare Advantage Value-Based Insurance Design Model,3/1/2022,,CY 2023 Request for Applications and associated materials posted,https://innovation.cms.gov/innovation-models/vbid,1062
ACO REACH,3/7/2022,,"Now Accepting Applications for Performance Year 2023 (PY2023) through Friday, April 22nd at 11:59 PM ET",https://innovation.cms.gov/innovation-models/aco-reach,1063
Financial Alignment Initiative for Medicare-Medicaid Enrollees,3/8/2022,,"Multiple evaluation reports from participating states Michigan, Ohio, and New York posted",https://innovation.cms.gov/innovation-models/financial-alignment,1064
Radiation Oncology Model,4/6/2022,,Notice of proposed rulemaking posted to delay model start date via future rulemaking,https://innovation.cms.gov/innovation-models/radiation-oncology-model,1065
Medicare Care Choices Model,4/13/2022,,Fourth annual report and associated materials posted,https://innovation.cms.gov/innovation-models/medicare-care-choices,1066
Part D Enhanced Medication Therapy Management Model,4/26/2022,,Fourth annual report and associated materials posted,https://innovation.cms.gov/innovation-models/enhancedmtm,1067
Comprehensive Primary Care Plus,5/17/2022,,Fourth annual evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/comprehensive-primary-care-plus,1069
Independence at Home Demonstration,5/23/2022,,Year seven results fact sheet posted,https://innovation.cms.gov/innovation-models/independence-at-home,1070
Financial Alignment Initiative for Medicare-Medicaid Enrollees,6/1/2022,,Multiple evaluation and savings reports from participating states New York and Texas posted,https://innovation.cms.gov/innovation-models/financial-alignment,1071
Maryland Total Cost of Care Model,6/13/2022,,Maryland Primary Care Program Track 3 RFA,https://innovation.cms.gov/innovation-models/md-tccm,1072
Accountable Health Communities Model,6/15/2022,,Making the Business Case for Addressing Health-Related Social Needs posted,https://innovation.cms.gov/innovation-models/ahcm,1073
Expanded Home Health Value-Based Purchasing Model,6/17/2022,,CY 2023 Home Health Prospective Payment System (HH PPS) proposed rule published,https://innovation.cms.gov/innovation-models/expanded-home-health-value-based-purchasing-model,1074
ESRD Treatment Choices (ETC) Model,6/21/2022,,End Stage Renal Disease (ESRD) Prospective Payment System (PPS) CY 2023 Proposed Rule published,https://innovation.cms.gov/innovation-models/esrd-treatment-choices-model,1075
Pennsylvania Rural Health Model,6/23/2022,,Second annual report posted,https://innovation.cms.gov/initiatives/pa-rural-health-model/,1076
Enhancing Oncology Model,6/27/2022,,Model announced and RFA posted,https://innovation.cms.gov/innovation-models/enhancing-oncology-model,1077
ACO REACH,6/30/2022,,Application decision letters sent to applicants and Application Fact Sheet posted,https://innovation.cms.gov/innovation-models/aco-reach,1078
ACO REACH,8/15/2022,,List of provisionally accepted applicants and Implementation Period #3 (IP3) ACOs,https://innovation.cms.gov/innovation-models/aco-reach,1078
Integrated Care for Kids (InCK) Model,8/23/2022,,Integrated Care for Kids (InCK) Model Evaluation: Report 1 (Pre-Implementation Period) released,https://innovation.cms.gov/innovation-models/integrated-care-for-kids-model,1079
Radiation Oncology Model,8/25/2022,,Final rule posted to delay model start date,https://innovation.cms.gov/innovation-models/radiation-oncology-model,1080
Strategic Direction,9/13/2022,,"Register for the CMS Innovation Center’s ""Approach to Person-Centered Care"" Webinar",https://innovation.cms.gov/strategic-direction,1081
Part D Senior Savings Model,9/29/2022,,CY 2023 Participants Announced,https://innovation.cms.gov/innovation-models/part-d-savings-model,1082
Medicare Advantage Value-Based Insurance Design Model,9/29/2022,,CY 2023 VBID Model Participants (including MAOs participating in the Hospice Benefit Component) released,https://innovation.cms.gov/innovation-models/vbid,1083
Medicare Intravenous Immune Globulin (IVIG) Demonstration,10/6/2022,,Updated interim Report to Congress posted,https://innovation.cms.gov/innovation-models/ivig,1084
BPCI Advanced,10/13/2022,,Two-year model extension (2024-2025) and changes to the pricing methodology for Model Year 6 (2023),https://innovation.cms.gov/innovation-models/bpci-advanced,1085
Medicare Advantage Value-Based Insurance Design Model,10/17/2022,,Evaluation of Phase II of the Medicare Advantage Value-Based Insurance Design Model Test reports posted,https://innovation.cms.gov/innovation-models/vbid,1086
Expanded Home Health Value-Based Purchasing Model,10/31/2022,,CY 2023 Home Health Prospective Payment System (HH PPS) final rule published,https://innovation.cms.gov/innovation-models/expanded-home-health-value-based-purchasing-model,1087
Strategic Direction,11/7/2022,,Release of the One-Year update Report on the CMS Innovation Center's Strategic Direction Implementation,https://innovation.cms.gov/strategic-direction,1087
Medicare Diabetes Prevention Program (MDPP) Expanded Model,11/14/2022,,Second Annual Evaluation Report posted,https://innovation.cms.gov/innovation-models/medicare-diabetes-prevention-program,1088
Next Generation ACO Model,11/18/2022,,Fifth evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/next-generation-aco-model,1089
Vermont All-Payer ACO Model,12/2/2022,,Second evaluation report posted,https://innovation.cms.gov/innovation-models/vermont-all-payer-aco-model,1090
Primary Care First Model Options,12/6/2022,,First evaluation report posted,https://innovation.cms.gov/innovation-models/primary-care-first-model-options,1091
Medicare Advantage Value-Based Insurance Design Model,12/16/2022,,CY 2024 Request for Applications posted ,https://innovation.cms.gov/innovation-models/vbid,1092
Maryland Total Cost of Care Model,12/20/2022,,Maryland Total Cost of Care Quantitative-Only Report for the Model's First Three Years posted,https://innovation.cms.gov/innovation-models/md-tccm,1093
Comprehensive ESRD Care Model,1/9/2023,,Financial and quality results for performance year 5 posted,https://innovation.cms.gov/innovation-models/comprehensive-esrd-care,1094
ACO REACH,1/17/2023,,Model participants,https://innovation.cms.gov/innovation-models/aco-reach,1095
Kidney Care Choices (KCC) Model,1/17/2023,,PY 2023 model participants announced,https://innovation.cms.gov/innovation-models/kidney-care-choices-kcc-model,1096
Rural Community Hospital Demonstration,1/24/2023,,Second interim evaluation report posted,https://innovation.cms.gov/innovation-models/rural-community-hospital,1097
Independence at Home Demonstration,1/27/2023,,Year seven evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/independence-at-home,1098
BPCI Advanced,3/3/2023,,Fourth annual report posted,https://innovation.cms.gov/initiatives/bpci-advanced/,1099
Financial Alignment Initiative for Medicare-Medicaid Enrollees,4/12/2023,,"Multiple evaluation and savings reports from participating states California, Illinois, Massachusetts, New York, and Washington posted",https://innovation.cms.gov/innovation-models/financial-alignment,1100
Million Hearts: Cardiovascular Disease Risk Reduction Model,4/28/2023,,Multiple case studies highlighting participant successes posted,https://innovation.cms.gov/innovation-models/million-hearts-cvdrrm,1101
Medicare Diabetes Prevention Program (MDPP) Expanded Model,4/28/2023,,New virtual delivery flexibilities for suppliers,https://innovation.cms.gov/innovation-models/medicare-diabetes-prevention-program,1102
Home Health Value-Based Purchasing Model,5/8/2023,,Sixth annual report and associated materials posted,https://innovation.cms.gov/innovation-models/home-health-value-based-purchasing-model,1103
Accountable Health Communities Model,5/17/2023,,Second evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/ahcm,1104
Maternal Opioid Misuse (MOM) Model,5/30/2023,,Second evaluation report and associated materials posted,https://innovation.cms.gov/innovation-models/maternal-opioid-misuse-model,1105
Comprehensive Care for Joint Replacement Model,5/31/2023,,Fifth annual report posted,https://innovation.cms.gov/innovation-models/cjr,1106
Oncology Care Model,5/31/2023,,Evaluation report for performance periods 1-9 and associated materials posted,https://innovation.cms.gov/innovation-models/oncology-care,1107
Enhancing Oncology Model,6/27/2023,,Participants announced,https://innovation.cms.gov/innovation-models/enhancing-oncology-model,1108
,7/14/2023,,Episode-Based Payment Model Request for Information (RFI) posted on the Federal Register,https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.federalregister.gov%2Fpublic-inspection%2F2023-15169%2Frequest-for-information-episode-based-payment-model&data=05%7C01%7CAlison.Rigby%40cms.hhs.gov%7Cebc5d5024d4b4d8dfcc408db847d7270%7Cfbdcedc170a9414bbfa5c3063fc3395e%7C0%7C0%7C638249446961570250%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=qzJn5wm67iSrqu7v0m3jecE3pii2fYTutqo60qviW2M%3D&reserved=0,1110
ESRD Treatment Choices (ETC) Model,7/17/2023,,First annual evaluation report posted,https://innovation.cms.gov/innovation-models/esrd-treatment-choices-model,1111
Vermont All-Payer ACO Model,7/20/2023,,Third evaluation report posted,https://innovation.cms.gov/innovation-models/vermont-all-payer-aco-model,1112
Guiding an Improved Dementia Experience (GUIDE) Model,7/31/2023,,The Guiding an Improved Dementia Experience (GUIDE) Model,https://www.cms.gov/priorities/innovation/innovation-models/guide,1113
Accountable Health Communities Model,2/7/2022,,Aligning Clinical Partners to a Collective Vision to Address Health-Related Social Needs posted,https://innovation.cms.gov/innovation-models/ahcm,1115
Accountable Health Communities Model,2/14/2022,,"Leveraging Community Partnerships: How Advisory Boards Advance Screening, Referral, and Navigation Efforts posted",https://innovation.cms.gov/innovation-models/ahcm,1116
Accountable Health Communities Model,8/1/2022,,Lessons From Five Years of The CMS Accountable Health Communities Model posted,https://innovation.cms.gov/innovation-models/ahcm,1117
Accountable Health Communities Model,10/3/2022,,Cross-Sector Data Sharing to Address Health-Related Social Needs: Qualitative Data Collection Summary posted,https://innovation.cms.gov/innovation-models/ahcm,1118
Accountable Health Communities Model,10/10/2022,,Engaging Clinical and Community Partners to Select and Implement a Common Referral Platform case study posted,https://innovation.cms.gov/innovation-models/ahcm,1119
Accountable Health Communities Model,1/3/2022,,Expanding and Scaling Efforts to Identify and Address Health-Related Social Needs posted,https://innovation.cms.gov/innovation-models/ahcm,1120
Accountable Health Communities Model,9/12/2023,,Communicating the Value of Addressing Health-Related Social Needs posted,https://www.cms.gov/priorities/innovation/innovation-models/ahcm,1121
Home Health Value-Based Purchasing Model,9/13/2023,,"This is the final summative report on the original HHVBP Model which tested if financial incentives to home health agencies drive improvements in quality of care across nine states. Over six years of the Model, we saw improvements in care quality which led to a national expansion of the Model. ",https://www.cms.gov/priorities/innovation/innovation-models/home-health-value-based-purchasing-model,1122
Pennsylvania Rural Health Model,9/14/2023,,Third annual report and associated materials posted,https://www.cms.gov/priorities/innovation/innovation-models/pa-rural-health-model,1123
Medicare Advantage Value-Based Insurance Design Model,9/26/2023,,CY 2024 VBID Model Participants (including MAOs participating in the Hospice Benefit Component) released,https://www.cms.gov/priorities/innovation/innovation-models/vbid,1124
Financial Alignment Initiative for Medicare-Medicaid Enrollees,10/5/2023,,"Third year evaluation reports for NY and OH, and PY7/PY8 evaluation report for WA posted",https://www.cms.gov/priorities/innovation/innovation-models/financial-alignment,1125
Medicare Advantage Value-Based Insurance Design Model,10/10/2023,,Evaluation of Phase II of the Medicare Advantage Value-Based Insurance Design Model Test reports posted,https://www.cms.gov/priorities/innovation/innovation-models/vbid,1126
Strategic Direction,10/11/2023,,CMS Innovation Center’s 1-year update about the Executive Order to Lower Prescription Drug Costs for Americans posted,https://www.cms.gov/priorities/innovation/about/strategic-direction,1127
